Vernier Format 2
indium 0002.txt 5/5/2024 23:36:10
Run 1
Time	Radiation	
T	R	
min	Counts	

0.5	289	
1.0	279	
1.5	243	
2.0	253	
2.5	263	
3.0	280	
3.5	258	
4.0	267	
4.5	264	
5.0	239	
5.5	277	
6.0	212	
6.5	240	
7.0	231	
7.5	252	
8.0	225	
8.5	216	
9.0	221	
9.5	267	
10.0	226	
10.5	245	
11.0	221	
11.5	224	
12.0	226	
12.5	249	
13.0	230	
13.5	244	
14.0	228	
14.5	222	
15.0	230	
15.5	234	
16.0	207	
16.5	231	
17.0	237	
17.5	216	
18.0	196	
18.5	249	
19.0	198	
19.5	251	
20.0	200	
20.5	225	
21.0	210	
21.5	207	
22.0	243	
22.5	200	
23.0	208	
23.5	211	
24.0	217	
24.5	224	
25.0	192	
25.5	195	
26.0	204	
26.5	219	
27.0	222	
27.5	213	
28.0	207	
28.5	183	
29.0	178	
29.5	176	
30.0	195	
30.5	185	
31.0	187	
31.5	195	
32.0	187	
32.5	179	
33.0	193	
33.5	169	
34.0	213	
34.5	173	
35.0	178	
35.5	161	
36.0	187	
36.5	169	
37.0	153	
37.5	200	
38.0	153	
38.5	203	
39.0	173	
39.5	171	
40.0	140	
40.5	169	
41.0	158	
41.5	175	
42.0	149	
42.5	157	
43.0	164	
43.5	166	
44.0	162	
44.5	134	
45.0	163	
45.5	148	
46.0	158	
46.5	176	
47.0	158	
47.5	154	
48.0	165	
48.5	162	
49.0	143	
49.5	159	
50.0	154	
50.5	174	
51.0	165	
51.5	156	
52.0	135	
52.5	145	
53.0	161	
53.5	157	
54.0	145	
54.5	154	
55.0	138	
55.5	134	
56.0	134	
56.5	135	
57.0	148	
57.5	147	
58.0	119	
58.5	124	
59.0	147	
59.5	149	
60.0	135	
